scientific_name,mass_g
Acanthis flammea,13.0
Accipiter gentilis,866.0
Accipiter nisus,220.8
Acrocephalus paludicola,11.6
Acrocephalus schoenobaenus,11.8
Acrocephalus scirpaceus,12.3
Actitis hypoleucos,48.0
Aegithalos caudatus,8.6
Aegolius funereus,137.2
Alauda arvensis,37.3
Alca torda,726.0
Alcedo atthis,31.1
Alle alle,180.7
Anas acuta,944.6
Anas crecca,341.9
Anas platyrhynchos,843.4
Anser albifrons,2506.4
Anser anser,3302.4
Anser brachyrhynchus,2642.0
Anser erythropus,1755.5
Anser fabalis,2754.7
Anthus campestris,23.0
Anthus cervinus,20.9
Anthus pratensis,18.4
Anthus spinoletta,23.9
Anthus trivialis,23.3
Apus apus,37.6
Aquila chrysaetos,4248.0
Ardea cinerea,1443.0
Arenaria interpres,136.0
Asio flammeus,322.6
Asio otus,296.6
Aythya ferina,823.0
Aythya fuligula,701.2
Aythya marila,1005.4
Bombycilla garrulus,54.4
Botaurus stellaris,1319.5
Branta bernicla,1277.9
Branta leucopsis,1684.0
Branta ruficollis,1226.5
Bubo bubo,2668.5
Bubo scandiacus,2028.8
Bucephala clangula,918.6
Burhinus oedicnemus,459.0
Buteo buteo,759.1
Buteo lagopus,949.8
Calcarius lapponicus,27.8
Calidris alba,51.7
Calidris alpina,51.9
Calidris canutus,141.9
Calidris falcinellus,37.1
Calidris ferruginea,58.1
Calidris maritima,65.1
Calidris minuta,21.1
Calidris pugnax,131.7
Calidris temminckii,23.0
Caprimulgus europaeus,67.0
Carduelis carduelis,16.0
Carpodacus erythrinus,24.0
Cepphus grylle,378.0
Certhia familiaris,9.0
Charadrius alexandrinus,42.3
Charadrius dubius,38.7
Charadrius morinellus,108.2
Chlidonias niger,65.3
Chloris chloris,26.0
Chroicocephalus ridibundus,284.0
Ciconia ciconia,3445.8
Ciconia nigra,2926.0
Circus aeruginosus,704.1
Circus cyaneus,393.0
Circus macrourus,384.4
Circus pygargus,310.8
Clangula hyemalis,871.0
Coccothraustes coccothraustes,56.6
Columba oenas,290.8
Columba palumbus,490.0
Coracias garrulus,146.0
Corvus corax,928.0
Corvus frugilegus,452.1
Corvus monedula,246.0
Coturnix coturnix,96.3
Crex crex,154.9
Cuculus canorus,111.4
Curruca communis,15.1
Curruca curruca,11.4
Curruca nisoria,22.5
Cygnus cygnus,9350.0
Cygnus olor,10682.0
Delichon urbicum,14.5
Dendrocopos leucotos,116.8
Dendrocopos major,74.9
Dendrocoptes medius,59.0
Dryobates minor,19.8
Dryocopus martius,321.0
Emberiza calandra,48.5
Emberiza citrinella,29.7
Emberiza hortulana,19.9
Emberiza schoeniclus,18.4
Eremophila alpestris,33.3
Falco columbarius,188.5
Falco peregrinus,760.0
Falco rusticolus,1431.7
Falco subbuteo,208.2
Falco tinnunculus,183.2
Falco vespertinus,151.5
Ficedula albicollis,12.7
Ficedula hypoleuca,13.8
Ficedula parva,10.8
Fratercula arctica,593.0
Fringilla coelebs,23.8
Fringilla montifringilla,23.2
Fulica atra,717.1
Gallinago gallinago,112.9
Gallinago media,170.0
Gallinula chloropus,339.6
Garrulus glandarius,159.5
Gavia arctica,2251.1
Gavia immer,4956.8
Gavia stellata,1486.0
Glaucidium passerinum,57.9
Grus grus,5500.0
Gulosus aristotelis,1764.3
Haematopus ostralegus,526.0
Haliaeetus albicilla,4729.3
Hippolais icterina,13.2
Hirundo rustica,17.9
Hydrocoloeus minutus,118.0
Hydroprogne caspia,655.0
Jynx torquilla,35.0
Lagopus lagopus,566.9
Lagopus muta,535.3
Lanius collurio,28.4
Lanius excubitor,63.4
Larus argentatus,1091.0
Larus canus,412.5
Larus fuscus,762.4
Larus glaucoides,693.3
Larus hyperboreus,1529.0
Larus marinus,1649.7
Linaria cannabina,19.5
Linaria flavirostris,15.4
Locustella naevia,13.3
Loxia curvirostra,38.3
Loxia leucoptera,28.7
Loxia pytyopsittacus,53.0
Lullula arborea,26.9
Luscinia luscinia,23.8
Luscinia svecica,17.2
Lymnocryptes minimus,50.1
Lyrurus tetrix,1068.7
Mareca penelope,770.0
Mareca strepera,915.6
Melanitta fusca,1800.2
Melanitta nigra,1050.0
Melanitta perspicillata,1096.3
Mergellus albellus,608.6
Mergus merganser,1451.0
Mergus serrator,1015.2
Milvus milvus,1071.8
Morus bassanus,2998.7
Motacilla alba,23.9
Motacilla flava,17.7
Netta rufina,1118.0
Nucifraga caryocatactes,182.5
Numenius arquata,803.0
Numenius phaeopus,364.6
Oriolus oriolus,79.0
Pagophila eburnea,550.0
Pandion haliaetus,1483.2
Parus major,16.3
Passer domesticus,26.5
Passer montanus,21.4
Perdix perdix,405.3
Periparus ater,9.2
Perisoreus infaustus,84.4
Pernis apivorus,754.4
Phalacrocorax carbo,2529.0
Phalaropus fulicarius,55.6
Phalaropus lobatus,36.7
Phasianus colchicus,1120.3
Phoenicurus ochruros,16.5
Phylloscopus collybita,8.3
Phylloscopus sibilatrix,9.2
